Hero,Image,Icon,Role
Yu Zhong,https://static.wikia.nocookie.net/mobile-legends/images/1/19/Yu_Zhong_%28Black_Dragon%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240620010918,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_9823ce4fe5eb89c0082b24f6d5ea67f6.png,Fighter
Luo Yi,https://static.wikia.nocookie.net/mobile-legends/images/1/18/Luo_Yi_%28Yin-yang_Geomancer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200523052957,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_103541726507f5ce102689f04fe215e8.png,Mage
Khaleed,https://static.wikia.nocookie.net/mobile-legends/images/c/ca/Khaleed_%28Desert_Scimitar%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240403054051,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_540a6a9d343842674ce002082366ec9d.png,Fighter
Benedetta,https://static.wikia.nocookie.net/mobile-legends/images/e/e7/Benedetta%28Shadow_Ranger%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230926170223,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b4a5e537894bdc00787e80e4d3ada5dd.png,"Assassin, Fighter"
Barats,https://static.wikia.nocookie.net/mobile-legends/images/7/70/Barats_%28Dino_Rider%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200918133041,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6495be044c2d28106e200f6918391d54.png,"Tank, Fighter"
Brody,https://static.wikia.nocookie.net/mobile-legends/images/8/8e/Brody_%28The_Lone_Star%29.jpg/revision/latest/scale-to-width-down/1000?cb=20201023151943],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f18e45a9a4cb45897e1f614593ff4497.png,Marksman
Yve,https://static.wikia.nocookie.net/mobile-legends/images/c/ce/Yve_%28Astrowarden%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240617074227,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_d9b0a1d92b1c4b3643d6332fd66aa8e6.png,Mage
Mathilda,https://static.wikia.nocookie.net/mobile-legends/images/0/04/Mathilda_%28Swift_Plume%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211215022210,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_24d08ed788a9f5984bcf3b732ddcaf04.png,"Support, Assassin"
Paquito,https://static.wikia.nocookie.net/mobile-legends/images/3/37/Paquito_%28The_Heavenly_Fist%29.jpg/revision/latest/scale-to-width-down/1000?cb=20210202033450,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_e2b6d9c6d82b4a27f0bb2710c8ead3e8.png,"Fighter, Assassin"
Gloo,https://static.wikia.nocookie.net/mobile-legends/images/1/17/Gloo_%28Swamp_Spirits%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220218134437,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_25997baec7261115e697d2837a44182e.png,Tank
Beatrix,https://static.wikia.nocookie.net/mobile-legends/images/c/cb/Beatrix_%28Dawnbreak_Soldier%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220218134351,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4687eca874feec9017b448a0b9110d65.png,Marksman
Phoveus,https://static.wikia.nocookie.net/mobile-legends/images/d/d1/Phoveus_%28Chains_of_Sin%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240805140512,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_06/100_af21c0dd8b5308c27974bff900803a9a.png,Fighter
Natan,https://static.wikia.nocookie.net/mobile-legends/images/1/18/Natan_%28Spacetime_Walker%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220218134405,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_da02742f59013365923b216420bc4082.png,Marksman
Aulus,https://static.wikia.nocookie.net/mobile-legends/images/8/89/Aulus_%28Warrior_of_Ferocity%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211213141917,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_40839957990dbb59a9e5ec4da9f85a8e.png,Fighter
Aamon,https://static.wikia.nocookie.net/mobile-legends/images/2/2c/Aamon_%28Duke_of_Shards%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220218134516,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b3a7602fe7ffd1e54bf8ea79ceadfa72.png,Assassin
Floryn,https://static.wikia.nocookie.net/mobile-legends/images/4/4f/Floryn_%28The_Budding_Hope%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220218134532,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5a57b91e4914cf071a3849e352e530a5.png,Support
Valentina,https://static.wikia.nocookie.net/mobile-legends/images/2/28/Valentina_%28Prophetess_of_the_Night%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211213141810,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_24837021ec9d7aaf41b13fa55b6d13c9.png,Mage
Edith,https://static.wikia.nocookie.net/mobile-legends/images/a/a4/Edith_%28Ancient_Guard%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211221193138,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_daab57918de01a6d5bb2ed6f45808a7e.png,"Tank, Marksman"
Yin,https://static.wikia.nocookie.net/mobile-legends/images/6/68/Yin_%28Martial_Genius%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220113132448,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_ee1c12c84f49514a30e405fb5c617796.png,"Fighter, Assassin"
Melissa,https://static.wikia.nocookie.net/mobile-legends/images/e/ec/Melissa_%28Cursed_Needle%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220301065501,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_1fa7436301fea3f13fbcd4772051d22d.png,Marksman
Xavier,https://static.wikia.nocookie.net/mobile-legends/images/3/3a/Xavier_%28Defier_of_Light%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220322122200,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_df0a8dfc494f85ed9bbc4512cc1e5d3c.png,Mage
Julian,https://static.wikia.nocookie.net/mobile-legends/images/c/c1/Julian_%28Scarlet_Raven%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220317095207,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5511ddc0ad2789b525f32ef572b017eb.png,"Fighter, Mage"
Fredrinn,https://static.wikia.nocookie.net/mobile-legends/images/3/33/Fredrinn_%28Rogue_Appraiser%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220814094221,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_dea170bfd5f26c41fb04e5edf72afedb.png,"Fighter, Tank"
Joy,https://static.wikia.nocookie.net/mobile-legends/images/c/cd/Joy_%28Flash_of_Miracle%29.png/revision/latest?cb=20221024200222,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d3a3a55c22000ae78732fed8cba2efef.png,Assassin
Novaria,https://static.wikia.nocookie.net/mobile-legends/images/6/64/Novaria_%28Star_Rebel%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240124060833,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_57eeea6d5bd8d21229de8df79751db9f.png,Mage
Arlott,https://static.wikia.nocookie.net/mobile-legends/images/f/ff/Arlott_%28Lone_Lancer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230308110635,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f666faa5ec6be5353f10dcd1d8997a42.png,"Fighter, Assassin"
Ixia,https://static.wikia.nocookie.net/mobile-legends/images/2/2c/Ixia_%28Arclight_Outlaw%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240128153646,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f070d82521ecd2e14d4ef3f25880830a.png,Marksman
Nolan,https://static.wikia.nocookie.net/mobile-legends/images/b/b1/Nolan_%28Cosmic_Wayfinder%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231008062052,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9012ee9f73fbb4db4e1953e5fb5172e1.png,Assassin
Cici,https://static.wikia.nocookie.net/mobile-legends/images/9/93/Cici_%28Buoyant_Performer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231225022617,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_60e3e11da30f404c77fff9e22d3bdc72.png,Fighter
Chip,https://static.wikia.nocookie.net/mobile-legends/images/9/94/Chip_%28Phase_Technician%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240303050952,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_79224d297f14377ad2eda8543432330d.png,"Support, Tank"
Zhuxin,https://static.wikia.nocookie.net/mobile-legends/images/7/7e/Zhuxin_%28Beacon_of_Spirits%29.png/revision/latest/scale-to-width-down/1000?cb=20240622154345,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_595f85bc90df3889c711c6b1f02dc02d.png,Mage
Suyou,https://static.wikia.nocookie.net/mobile-legends/images/8/8e/Suyou_%28Mask_of_the_Immortal%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240921150438,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_20/100_5e4ca70172332dde18bb1dc158ccc5c8.png,"Assassin, Fighter"
